wavelength,A,D65,VM,Vprime,CIE1931x,CIE1931y,CIE1931z,CIE1964x,CIE1964y,CIE1964z,C,D50,D55,D75,Dark Skin,Light Skin,Blue Sky,Foliage,Blue Flower,Bluish Green,Orange,Purplish Blue,Moderate Red,Purple,Yellow Green,Orange Yellow,Blue,Green,Red,Yellow,Magent,Cyan,White,Neutral 8,Neutral 6.5,Neutral 5,Neutral 3.5,Black
395,13.3543,68.7015,0.0015457,0.00453,0.00765,0.000217,0.03621,0.0072423,0.0007685,0.032344,55.17,39.589,49.518,85.946,0.06,0.163,0.219,0.049,0.258,0.208,0.054,0.189,0.135,0.157,0.059,0.064,0.114,0.058,0.052,0.053,0.228,0.164,0.319,0.299,0.249,0.169,0.088,0.034
400,14.708,82.7549,0.0028,0.00929,0.01431,0.000396,0.06785001,0.0191097,0.0020044,0.0860109,63.30,49.308,60.949,101.929,0.065,0.182,0.266,0.05,0.328,0.252,0.054,0.231,0.144,0.177,0.06,0.065,0.136,0.058,0.051,0.053,0.283,0.195,0.409,0.372,0.289,0.183,0.091,0.035
405,16.148,87.1204,0.0046562,0.01852,0.02319,0.00064,0.1102,0.0434,0.004509,0.19712,71.81,52.910,64.751,106.911,0.068,0.192,0.3,0.049,0.385,0.284,0.054,0.268,0.145,0.191,0.061,0.065,0.156,0.058,0.051,0.053,0.322,0.22,0.536,0.459,0.324,0.193,0.093,0.035
410,17.6753,91.486,0.0074,0.03484,0.04351,0.00121,0.2074,0.084736,0.008756,0.389366,80.60,56.513,68.554,111.894,0.068,0.197,0.32,0.049,0.418,0.303,0.053,0.293,0.144,0.199,0.061,0.064,0.175,0.059,0.05,0.053,0.343,0.238,0.671,0.529,0.346,0.199,0.094,0.036
415,19.2907,92.4589,0.011779,0.0604,0.07763,0.00218,0.3713,0.140638,0.014456,0.65676,89.53,58.273,70.065,112.346,0.067,0.199,0.33,0.05,0.437,0.314,0.053,0.311,0.141,0.203,0.061,0.064,0.193,0.059,0.05,0.052,0.354,0.249,0.772,0.564,0.354,0.201,0.094,0.036
420,20.995,93.4318,0.0175,0.0966,0.13438,0.004,0.6456,0.204492,0.021391,0.972542,98.10,60.034,71.577,112.798,0.064,0.201,0.336,0.05,0.446,0.322,0.052,0.324,0.138,0.206,0.062,0.064,0.208,0.059,0.049,0.052,0.359,0.258,0.84,0.58,0.357,0.202,0.094,0.036
425,22.7883,90.057,0.022678,0.1436,0.21477,0.0073,1.0390501,0.264737,0.029497,1.2825,105.80,58.926,69.746,107.945,0.062,0.203,0.337,0.051,0.448,0.329,0.052,0.335,0.134,0.198,0.063,0.064,0.224,0.06,0.049,0.052,0.357,0.27,0.868,0.584,0.358,0.203,0.094,0.036
430,24.6709,86.6823,0.0273,0.1998,0.2839,0.0116,1.3856,0.314679,0.038676,1.55348,112.40,57.818,67.914,103.092,0.059,0.205,0.337,0.052,0.448,0.336,0.052,0.348,0.132,0.19,0.064,0.064,0.244,0.062,0.049,0.053,0.35,0.281,0.878,0.585,0.359,0.203,0.094,0.036
435,26.6425,95.7736,0.032584,0.2625,0.3285,0.01684,1.62296,0.357719,0.049602,1.7985,117.75,66.321,76.760,112.145,0.057,0.208,0.337,0.053,0.447,0.344,0.052,0.361,0.132,0.179,0.066,0.065,0.265,0.063,0.049,0.053,0.339,0.296,0.882,0.587,0.36,0.204,0.095,0.036
440,28.7027,104.865,0.0379,0.3281,0.34828,0.023,1.74706,0.383734,0.062077,1.96728,121.50,74.825,85.605,121.198,0.055,0.212,0.335,0.054,0.444,0.353,0.052,0.373,0.131,0.168,0.068,0.065,0.29,0.065,0.049,0.053,0.327,0.315,0.883,0.587,0.361,0.205,0.095,0.035
445,30.8508,110.936,0.042391,0.3931,0.34806,0.0298,1.7826,0.386726,0.074704,2.0273,123.45,81.036,91.799,127.104,0.054,0.217,0.334,0.056,0.44,0.363,0.052,0.383,0.131,0.156,0.071,0.066,0.316,0.067,0.049,0.054,0.313,0.334,0.885,0.588,0.362,0.205,0.095,0.035
450,33.0859,117.008,0.0468,0.455,0.3362,0.038,1.77211,0.370702,0.089456,1.9948,124.00,87.247,97.993,133.010,0.053,0.224,0.331,0.058,0.434,0.375,0.052,0.387,0.129,0.144,0.075,0.067,0.335,0.07,0.049,0.055,0.298,0.352,0.886,0.588,0.362,0.205,0.095,0.035
455,35.4068,117.41,0.052122,0.513,0.3187,0.048,1.7441,0.342957,0.106256,1.9007,123.60,88.930,99.228,132.682,0.053,0.231,0.327,0.06,0.428,0.39,0.052,0.383,0.128,0.132,0.079,0.068,0.342,0.074,0.048,0.056,0.282,0.37,0.886,0.587,0.361,0.205,0.094,0.035
460,37.8121,117.812,0.06,0.567,0.2908,0.06,1.6692,0.302273,0.128201,1.74537,123.10,90.612,100.463,132.355,0.052,0.24,0.322,0.061,0.421,0.408,0.052,0.374,0.126,0.12,0.085,0.069,0.338,0.078,0.048,0.059,0.267,0.391,0.887,0.586,0.361,0.204,0.094,0.035
465,40.3002,116.336,0.0739,0.62,0.2511,0.0739,1.5281,0.254085,0.152761,1.5549,123.30,90.990,100.188,129.838,0.052,0.251,0.316,0.063,0.413,0.433,0.052,0.361,0.126,0.11,0.093,0.073,0.324,0.084,0.047,0.065,0.253,0.414,0.888,0.585,0.359,0.204,0.094,0.035
470,42.8693,114.861,0.09098,0.676,0.19536,0.09098,1.28764,0.195618,0.18519,1.31756,123.80,91.368,99.913,127.322,0.052,0.262,0.31,0.064,0.405,0.46,0.053,0.345,0.125,0.101,0.104,0.077,0.302,0.091,0.047,0.075,0.239,0.434,0.888,0.583,0.358,0.203,0.094,0.035
475,45.5174,115.392,0.1126,0.734,0.1421,0.1126,1.0419,0.132349,0.21994,1.0302,124.09,93.238,101.326,127.061,0.053,0.273,0.302,0.065,0.394,0.492,0.054,0.325,0.123,0.093,0.118,0.084,0.273,0.101,0.046,0.093,0.225,0.449,0.888,0.582,0.358,0.203,0.093,0.035
480,48.2423,115.923,0.13902,0.793,0.09564,0.13902,0.8129501,0.080507,0.253589,0.772125,123.90,95.109,102.739,126.800,0.054,0.282,0.293,0.067,0.381,0.523,0.055,0.301,0.119,0.086,0.135,0.092,0.239,0.113,0.045,0.121,0.209,0.458,0.888,0.581,0.357,0.202,0.093,0.034
485,51.0418,112.367,0.1693,0.851,0.05795001,0.1693,0.6162,0.041072,0.297665,0.57006,122.92,93.536,100.409,122.291,0.055,0.289,0.285,0.068,0.372,0.548,0.056,0.275,0.114,0.08,0.157,0.1,0.205,0.125,0.045,0.157,0.195,0.461,0.888,0.58,0.356,0.202,0.093,0.034
490,53.9132,108.811,0.20802,0.904,0.03201,0.20802,0.46518,0.016172,0.339133,0.415254,120.70,91.963,98.078,117.783,0.057,0.293,0.276,0.07,0.362,0.566,0.057,0.247,0.109,0.075,0.185,0.107,0.172,0.14,0.044,0.202,0.182,0.457,0.888,0.58,0.356,0.202,0.093,0.034
495,56.8539,109.082,0.2586,0.949,0.0147,0.2586,0.3533,0.005132,0.395379,0.302356,116.90,93.843,99.379,117.186,0.059,0.296,0.268,0.072,0.352,0.577,0.059,0.223,0.105,0.07,0.221,0.115,0.144,0.157,0.044,0.252,0.172,0.447,0.888,0.58,0.356,0.202,0.092,0.034
500,59.8611,109.354,0.323,0.982,0.0049,0.323,0.272,0.003816,0.460777,0.218502,112.10,95.724,100.680,116.589,0.061,0.301,0.26,0.078,0.342,0.582,0.061,0.202,0.103,0.067,0.269,0.123,0.12,0.18,0.044,0.303,0.163,0.433,0.887,0.58,0.356,0.202,0.092,0.034
505,62.932,108.578,0.4073,0.998,0.0024,0.4073,0.2123,0.015444,0.53136,0.159249,106.98,96.169,100.688,115.146,0.062,0.31,0.251,0.088,0.33,0.583,0.064,0.184,0.102,0.063,0.326,0.133,0.101,0.208,0.044,0.351,0.155,0.414,0.887,0.58,0.356,0.202,0.093,0.034
510,66.0635,107.802,0.503,0.997,0.0093,0.503,0.1582,0.037465,0.606741,0.112044,102.30,96.613,100.695,113.702,0.065,0.321,0.243,0.106,0.314,0.58,0.068,0.167,0.1,0.061,0.384,0.146,0.086,0.244,0.044,0.394,0.146,0.392,0.887,0.58,0.356,0.202,0.093,0.034
